ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
172958858,12/26/2017,,,,,PL 1553502,,B,45,0,<18,M,BLACK HISPANIC,1032140,242004,40.830798914,-73.826948796
172945127,12/25/2017,153,RAPE 3,104,RAPE,PL 1302501,F,Q,115,0,25-44,M,WHITE HISPANIC,1018699,215043,40.756860977,-73.875656664
172875607,12/21/2017,173,"SEXUAL ABUSE 3,2",233,SEX CRIMES,PL 1305200,M,Q,114,97,25-44,F,WHITE,1007654,219564,40.769306087,-73.91550818
172791367,12/20/2017,177,,116,SEX CRIMES,PL 1306504,F,B,41,0,25-44,M,WHITE,1013232,236725,40.816391847,-73.895296414
172727937,12/18/2017,175,"SEXUAL ABUSE 3,2",233,SEX CRIMES,PL 13052A1,M,Q,111,0,<18,M,WHITE,1048565,216315,40.760185479,-73.767842585
172744565,12/18/2017,153,RAPE 3,104,RAPE,PL 1302501,F,Q,105,0,25-44,M,BLACK,1057636,203954,40.72618713,-73.735233904
172628296,12/14/2017,157,RAPE 1,104,RAPE,PL 1303501,F,B,44,0,45-64,M,WHITE HISPANIC,1006434,244344,40.837323511,-73.919830757
172591307,12/13/2017,175,"SEXUAL ABUSE 3,2",233,SEX CRIMES,PL 13052A1,M,M,33,0,25-44,M,UNKNOWN,1001936,245282,40.839908201,-73.936083587
172576834,12/13/2017,475,,343,THEFT OF SERVICES,PL 1651601,M,Q,103,1,18-24,M,BLACK,1039726,195270,40.702482133,-73.799922252
172504699,12/11/2017,153,RAPE 3,104,RAPE,PL 1302502,F,K,77,0,18-24,M,BLACK,1003606,185050,40.674583308,-73.930221541
172499283,12/11/2017,173,"SEXUAL ABUSE 3,2",233,SEX CRIMES,PL 1305200,M,K,77,0,25-44,M,BLACK,1003606,185050,40.674583308,-73.930221541
172362835,12/07/2017,177,SEXUAL ABUSE 1,116,SEX CRIMES,PL 1306502,F,B,47,0,45-64,M,BLACK,1026387,262634,40.887451313,-73.847607787
173130602,12/31/2017,566,"MARIJUANA, POSSESSION",678,MISCELLANEOUS PENAL LAW,PL 2210500,V,Q,105,0,25-44,M,BLACK,1063056,207463,40.735771803,-73.715638255
173117301,12/31/2017,750,RESISTING ARREST,359,OFFENSES AGAINST PUBLIC ADMINI,PL 2053000,M,B,46,0,25-44,M,BLACK HISPANIC,1007610,250032,40.852932365,-73.915561003
173123523,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,79,0,65+,F,WHITE,1000245,187997,40.682678866,-73.942331212
173127006,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,M,19,0,45-64,F,BLACK,993570,216847,40.76187469,-73.966358084
173124311,12/31/2017,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200506,F,B,43,0,45-64,M,WHITE HISPANIC,1018624,241853,40.830447407,-73.875790162
173124314,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,K,72,0,<18,M,BLACK HISPANIC,982206,177817,40.654751245,-74.007368032
173124318,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,M,7,0,45-64,F,WHITE,988049,200071,40.715832818,-73.986297278
173114450,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,K,88,0,25-44,M,BLACK,994431,187342,40.680889635,-73.963294671
173121080,12/31/2017,263,"ARSON 2,3,4",114,ARSON,PL 1500501,F,K,67,71,45-64,M,BLACK HISPANIC,996876,177505,40.65388611,-73.954497844
173121853,12/31/2017,759,"PUBLIC ADMINISTATION,UNCLASS MISDEMEAN 4",359,OFFENSES AGAINST PUBLIC ADMINI,PL 2052001,M,B,41,72,25-44,F,WHITE HISPANIC,1017934,232221,40.804012949,-73.878331833
173122737,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,K,68,0,25-44,M,WHITE,977236,171575,40.637615758,-74.025273454
173122744,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,18,0,25-44,M,WHITE HISPANIC,987910,216657,40.761357343,-73.986789673
173124320,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,Q,104,0,25-44,F,WHITE,1010150,194348,40.70008745,-73.90659418
173127011,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,101,0,25-44,M,WHITE HISPANIC,1044074,156299,40.595487179,-73.784586491
173127014,12/31/2017,259,"MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG",351,CRIMINAL MISCHIEF & RELATED OF,PL 1450001,M,Q,104,0,25-44,M,WHITE,1017324,198914,40.712596129,-73.880699051
173128425,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,B,48,0,18-24,M,WHITE HISPANIC,1016402,247804,40.84678953,-73.883790877
173129120,12/31/2017,750,RESISTING ARREST,359,OFFENSES AGAINST PUBLIC ADMINI,PL 2053000,M,B,43,0,25-44,M,WHITE HISPANIC,1017824,238944,40.822466113,-73.878695534
173129122,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1600500,F,B,43,0,25-44,M,WHITE HISPANIC,1022022,240901,40.827820563,-73.863516785
173129126,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,78,0,45-64,F,BLACK,990287,184429,40.672897902,-73.978238136
173129247,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1600500,F,B,42,2,<18,M,BLACK,1012076,239818,40.824884972,-73.899459937
173113517,12/31/2017,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,K,70,0,18-24,F,BLACK,996349,172033,40.638867386,-73.956406943
173113516,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,K,63,0,18-24,M,BLACK,1004672,169892,40.632975519,-73.926424426
173128435,12/31/2017,567,"MARIJUANA, POSSESSION 4 & 5",235,DANGEROUS DRUGS,PL 2211001,M,M,23,0,18-24,M,WHITE HISPANIC,1001747,228590,40.794093725,-73.936810155
173130578,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,47,0,<18,F,WHITE HISPANIC,1027895,258701,40.876649139,-73.842179557
173113512,12/31/2017,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,K,61,0,25-44,M,WHITE HISPANIC,995122,155693,40.594019059,-73.960854316
173142193,12/31/2017,792,WEAPONS POSSESSION 1 & 2,118,DANGEROUS WEAPONS,PL 2650303,F,K,61,0,25-44,M,BLACK,996175,158706,40.602287781,-73.95705743
173128436,12/31/2017,259,"MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG",351,CRIMINAL MISCHIEF & RELATED OF,PL 1450001,M,M,33,0,25-44,F,WHITE HISPANIC,999340,244431,40.837577271,-73.94546754
173121077,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200002,M,B,43,0,25-44,M,BLACK,1019071,240911,40.827860137,-73.874179809
173116540,12/31/2017,779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,MISCELLANEOUS PENAL LAW,PL 2155100,F,Q,100,0,25-44,F,WHITE HISPANIC,1034278,159535,40.604430033,-73.819835967
173129129,12/31/2017,268,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 1450502,F,Q,108,0,25-44,M,WHITE,1008536,212085,40.748775774,-73.912350996
173116271,12/31/2017,478,"THEFT OF SERVICES, UNCLASSIFIED",343,OTHER OFFENSES RELATED TO THEF,PL 1651502,M,M,14,0,18-24,M,ASIAN/PAC.ISL,987404,215746,40.758857075,-73.988616647
173128428,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,K,61,0,65+,F,WHITE,997477,154359,40.590354295,-73.952377211
173128430,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200002,M,K,83,0,25-44,M,WHITE HISPANIC,1003807,195345,40.702840272,-73.929467038
173128433,12/31/2017,705,"FORGERY,ETC.-MISD.",358,OFFENSES INVOLVING FRAUD,PL 1702000,M,M,17,0,18-24,M,WHITE,991195,212559,40.750107405,-73.974935795
173128437,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,23,2,25-44,M,BLACK HISPANIC,998165,226184,40.787496269,-73.949751709
173128438,12/31/2017,511,"CONTROLLED SUBSTANCE, POSSESSION 7",235,DANGEROUS DRUGS,PL 2200300,M,M,25,0,25-44,M,BLACK,999724,230625,40.799683022,-73.944111631
173129349,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,9,0,18-24,F,WHITE HISPANIC,990592,202391,40.722199204,-73.977121705
173130583,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1601001,F,K,73,0,18-24,M,BLACK,1007524,188555,40.684194302,-73.916084746
173121852,12/31/2017,439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,GRAND LARCENY,PL 1553004,F,B,42,0,25-44,M,WHITE HISPANIC,1008691,238872,40.822298485,-73.911694131
