ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
173130602,12/31/2017,566,"MARIJUANA, POSSESSION",678,MISCELLANEOUS PENAL LAW,PL 2210500,V,Q,105,0,25-44,M,BLACK,1063056,207463,40.735771803,-73.715638255
173117301,12/31/2017,750,RESISTING ARREST,359,OFFENSES AGAINST PUBLIC ADMINI,PL 2053000,M,B,46,0,25-44,M,BLACK HISPANIC,1007610,250032,40.852932365,-73.915561003
173123523,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,79,0,65+,F,WHITE,1000245,187997,40.682678866,-73.942331212
173127006,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,M,19,0,45-64,F,BLACK,993570,216847,40.76187469,-73.966358084
173124311,12/31/2017,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200506,F,B,43,0,45-64,M,WHITE HISPANIC,1018624,241853,40.830447407,-73.875790162
173124314,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,K,72,0,<18,M,BLACK HISPANIC,982206,177817,40.654751245,-74.007368032
173124318,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,M,7,0,45-64,F,WHITE,988049,200071,40.715832818,-73.986297278
173114450,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,K,88,0,25-44,M,BLACK,994431,187342,40.680889635,-73.963294671
173121080,12/31/2017,263,"ARSON 2,3,4",114,ARSON,PL 1500501,F,K,67,71,45-64,M,BLACK HISPANIC,996876,177505,40.65388611,-73.954497844
173121853,12/31/2017,759,"PUBLIC ADMINISTATION,UNCLASS MISDEMEAN 4",359,OFFENSES AGAINST PUBLIC ADMINI,PL 2052001,M,B,41,72,25-44,F,WHITE HISPANIC,1017934,232221,40.804012949,-73.878331833
