two_bed,studio,one_bed,three_bed,four_bed,county_name,pop2010,state,metro
788,628,663,1084,1288,Autauga County,54571,AL,1
762,494,643,1123,1318,Baldwin County,182265,AL,0
670,492,495,834,895,Barbour County,27457,AL,0
773,545,652,1015,1142,Bibb County,22915,AL,1
773,545,652,1015,1142,Blount County,57322,AL,1
599,481,505,791,1061,Bullock County,10914,AL,0
599,453,456,870,894,Butler County,20947,AL,0
675,491,513,872,908,Calhoun County,118572,AL,1
696,511,514,867,1034,Chambers County,34215,AL,0
599,481,500,883,894,Cherokee County,25989,AL,0
599,423,475,802,1061,Chilton County,43643,AL,1
708,520,523,882,1056,Choctaw County,13859,AL,0
599,461,464,836,891,Clarke County,25833,AL,0
599,445,448,803,806,Clay County,13932,AL,0
695,510,514,866,929,Cleburne County,14972,AL,0
616,477,480,835,863,Coffee County,49948,AL,0
609,474,477,813,816,Colbert County,54428,AL,1
599,459,462,883,886,Conecuh County,13228,AL,0
599,481,505,746,801,Coosa County,11539,AL,0
599,460,463,866,961,Covington County,37765,AL,0
599,440,443,845,894,Crenshaw County,13906,AL,0
611,490,500,770,817,Cullman County,80406,AL,0
600,400,470,874,1050,Dale County,50251,AL,0
599,382,443,766,977,Dallas County,43820,AL,0
703,418,543,879,1121,DeKalb County,71109,AL,0
788,628,663,1084,1288,Elmore County,79303,AL,1
599,484,505,746,870,Escambia County,38319,AL,0
622,370,478,775,874,Etowah County,104430,AL,1
599,481,505,786,1061,Fayette County,17241,AL,0
599,440,443,746,894,Franklin County,31704,AL,0
635,461,493,847,1047,Geneva County,26790,AL,1
757,450,572,950,1079,Greene County,9045,AL,1
757,450,572,950,1079,Hale County,15760,AL,1
599,435,465,883,987,Henry County,17302,AL,1
635,461,493,847,1047,Houston County,101547,AL,1
599,481,505,746,820,Jackson County,53227,AL,0
773,545,652,1015,1142,Jefferson County,658466,AL,1
599,481,505,746,894,Lamar County,14564,AL,0
609,474,477,813,816,Lauderdale County,92709,AL,1
655,457,552,908,936,Lawrence County,34339,AL,1
813,597,601,1119,1374,Lee County,140247,AL,1
711,515,576,978,1033,Limestone County,82782,AL,1
788,628,663,1084,1288,Lowndes County,11299,AL,1
599,440,443,746,848,Macon County,21452,AL,0
711,515,576,978,1033,Madison County,334811,AL,1
599,475,478,796,801,Marengo County,21027,AL,0
599,481,491,869,872,Marion County,30776,AL,0
599,447,450,825,828,Marshall County,93019,AL,0
773,624,652,1036,1191,Mobile County,412992,AL,1
599,481,505,883,1061,Monroe County,23068,AL,0
788,628,663,1084,1288,Montgomery County,229363,AL,1
655,457,552,908,936,Morgan County,119490,AL,1
599,459,462,874,894,Perry County,10591,AL,0
599,440,443,746,801,Pickens County,19746,AL,0
605,489,510,888,891,Pike County,32899,AL,0
619,486,489,771,827,Randolph County,22913,AL,0
745,536,628,1026,1319,Russell County,52947,AL,1
773,545,652,1015,1142,St. Clair County,83593,AL,1
773,545,652,1015,1142,Shelby County,195085,AL,1
607,487,512,756,852,Sumter County,13763,AL,0
603,443,446,823,826,Talladega County,82291,AL,0
599,472,475,816,819,Tallapoosa County,41616,AL,0
757,450,572,950,1079,Tuscaloosa County,194656,AL,1
608,491,502,840,1021,Walker County,67023,AL,1
599,481,505,883,899,Washington County,17581,AL,0
599,440,443,746,801,Wilcox County,11670,AL,0
599,481,505,820,1061,Winston County,24484,AL,0
834,599,703,1039,1204,Aleutians East Borough,3141,AK,0
1472,876,1088,1833,2126,Aleutians West Census Area,5561,AK,0
1199,809,936,1767,2124,Anchorage Municipality,291826,AK,1
1289,832,953,1605,1723,Bethel Census Area,17013,AK,0
1083,778,800,1457,1462,Bristol Bay Borough,997,AK,0
1346,967,1135,1983,1990,Denali Borough,1826,AK,0
1056,758,891,1315,1525,Dillingham Census Area,4847,AK,0
1377,819,1018,2029,2365,Fairbanks North Star Borough,97581,AK,1
915,657,741,1348,1353,Haines Borough,2508,AK,0
763,548,564,950,1178,Hoonah-Angoon Census Area,2150,AK,0
1262,769,933,1652,1963,Juneau City and Borough,31275,AK,0
882,664,704,1105,1445,Kenai Peninsula Borough,55400,AK,0
1097,653,843,1616,1754,Ketchikan Gateway Borough,13477,AK,0
994,675,795,1465,1761,Kodiak Island Borough,13592,AK,0
739,531,623,993,1309,Lake and Peninsula Borough,1631,AK,0
1007,658,761,1484,1784,Matanuska-Susitna Borough,88995,AK,1
1357,807,1003,1690,1813,Nome Census Area,9492,AK,0
1097,734,925,1366,1759,North Slope Borough,9430,AK,0
1261,1019,1064,1571,1685,Northwest Arctic Borough,7523,AK,0
967,694,715,1204,1713,Petersburg Census Area,3815,AK,0
904,664,668,1126,1208,Prince of Wales-Hyder Census Area,5559,AK,0
1158,807,856,1613,1672,Sitka City and Borough,8881,AK,0
1194,857,1007,1487,1724,Skagway Municipality,968,AK,0
976,623,736,1216,1678,Southeast Fairbanks Census Area,7029,AK,0
1019,771,815,1435,1550,Valdez-Cordova Census Area,9636,AK,0
869,624,733,1082,1255,Wade Hampton Census Area,7459,AK,0
830,596,648,1223,1227,Wrangell City and Borough,2369,AK,0
870,625,679,1282,1541,Yakutat City and Borough,662,AK,0
734,593,609,914,1139,Yukon-Koyukuk Census Area,5588,AK,0
643,389,475,805,967,Apache County,71518,AZ,0
751,581,600,1085,1330,Cochise County,131346,AZ,0
1033,710,825,1311,1671,Coconino County,134421,AZ,1
838,597,622,1210,1420,Gila County,53597,AZ,0
763,454,641,1124,1128,Graham County,37220,AZ,0
643,458,475,801,859,Greenlee County,8437,AZ,0
752,536,556,937,1167,La Paz County,20489,AZ,0
908,582,735,1338,1563,Maricopa County,3817117,AZ,1
752,477,589,1019,1180,Mohave County,200186,AZ,1
727,534,537,1025,1036,Navajo County,107449,AZ,0
822,489,611,1207,1436,Pima County,980263,AZ,1
908,582,735,1338,1563,Pinal County,375770,AZ,1
763,544,615,962,1351,Santa Cruz County,47420,AZ,0
796,555,630,1173,1240,Yavapai County,211033,AZ,1
854,605,647,1258,1441,Yuma County,195751,AZ,1
592,435,438,737,840,Arkansas County,19019,AR,0
584,429,432,791,794,Ashley County,21853,AR,0
608,449,456,891,1077,Baxter County,41513,AR,0
719,490,559,1059,1249,Benton County,221339,AR,1
597,438,441,834,1002,Boone County,36903,AR,0
584,411,432,848,851,Bradley County,11508,AR,0
624,458,461,777,944,Calhoun County,5368,AR,0
607,455,458,791,811,Carroll County,27446,AR,0
584,431,434,861,1034,Chicot County,11800,AR,0
584,440,443,774,780,Clark County,22995,AR,0
584,429,432,758,800,Clay County,16083,AR,0
609,472,475,800,934,Cleburne County,25970,AR,0
641,409,482,803,982,Cleveland County,8689,AR,1
584,429,432,822,825,Columbia County,24552,AR,0
632,464,467,787,1025,Conway County,21273,AR,0
626,381,506,879,883,Craighead County,96443,AR,1
638,484,487,850,958,Crawford County,61948,AR,1
832,614,702,1137,1267,Crittenden County,50902,AR,1
636,489,493,875,1061,Cross County,17870,AR,0
584,455,493,861,1021,Dallas County,8116,AR,0
584,429,432,802,1005,Desha County,13008,AR,0
584,429,432,840,1034,Drew County,18509,AR,0
744,536,619,1040,1155,Faulkner County,113237,AR,1
623,457,460,803,936,Franklin County,18125,AR,1
584,429,432,727,884,Fulton County,12245,AR,0
795,473,588,1058,1298,Garland County,96024,AR,1
584,421,493,861,1034,Grant County,17853,AR,1
627,393,466,870,1111,Greene County,42090,AR,0
584,455,477,727,949,Hempstead County,22609,AR,0
605,472,510,806,935,Hot Spring County,32923,AR,0
584,390,432,767,945,Howard County,13789,AR,0
590,433,436,747,947,Independence County,36647,AR,0
584,429,432,727,802,Izard County,13696,AR,0
584,429,432,861,1034,Jackson County,17997,AR,0
641,409,482,803,982,Jefferson County,77435,AR,1
601,445,448,749,921,Johnson County,25540,AR,0
584,429,432,861,884,Lafayette County,7645,AR,0
584,429,432,777,929,Lawrence County,17415,AR,0
605,472,510,775,809,Lee County,10424,AR,0
641,409,482,803,982,Lincoln County,14134,AR,1
584,418,432,727,1034,Little River County,13171,AR,0
584,347,432,727,814,Logan County,22353,AR,0
744,536,619,1040,1155,Lonoke County,68356,AR,1
719,490,559,1059,1249,Madison County,15717,AR,1
584,429,432,727,855,Marion County,16653,AR,0
764,479,622,952,1021,Miller County,43462,AR,1
605,378,447,804,892,Mississippi County,46480,AR,0
584,429,432,794,1004,Monroe County,8149,AR,0
584,429,432,727,884,Montgomery County,9487,AR,0
584,429,432,754,1014,Nevada County,8997,AR,0
584,429,432,727,884,Newton County,8330,AR,0
584,450,452,752,780,Ouachita County,26120,AR,0
744,536,619,1040,1155,Perry County,10445,AR,1
584,429,432,861,953,Phillips County,21757,AR,0
584,443,446,727,884,Pike County,11291,AR,0
584,366,446,856,1008,Poinsett County,24583,AR,1
584,448,451,782,785,Polk County,20662,AR,0
614,456,459,838,1087,Pope County,61754,AR,0
584,455,493,861,1034,Prairie County,8715,AR,0
744,536,619,1040,1155,Pulaski County,382748,AR,1
584,429,432,745,884,Randolph County,17969,AR,0
584,472,493,813,935,St. Francis County,28258,AR,0
744,536,619,1040,1155,Saline County,107118,AR,1
584,429,432,727,884,Scott County,11233,AR,0
584,429,432,727,780,Searcy County,8195,AR,0
638,484,487,850,958,Sebastian County,125744,AR,1
584,455,463,750,819,Sevier County,17058,AR,0
584,429,432,768,876,Sharp County,17264,AR,0
584,429,432,750,884,Stone County,12394,AR,0
661,485,489,823,944,Union County,41639,AR,0
584,455,493,741,884,Van Buren County,17295,AR,0
719,490,559,1059,1249,Washington County,203065,AR,1
617,453,456,909,956,White County,77076,AR,0
584,429,432,861,884,Woodruff County,7260,AR,0
584,429,432,861,1034,Yell County,22185,AR,0
1585,1039,1260,2213,2716,Alameda County,1510271,CA,1
818,595,605,1019,1320,Alpine County,1175,CA,0
986,587,729,1308,1592,Amador County,38091,CA,0
