fair_mkt_rent,area_name,county_name,pop2010,state,metro
1288,"Montgomery, AL MSA",Autauga County,54571,AL,1
1318,"Baldwin County, AL",Baldwin County,182265,AL,0
895,"Barbour County, AL",Barbour County,27457,AL,0
1142,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,22915,AL,1
1142,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,57322,AL,1
1061,"Bullock County, AL",Bullock County,10914,AL,0
894,"Butler County, AL",Butler County,20947,AL,0
908,"Anniston-Oxford, AL MSA",Calhoun County,118572,AL,1
1034,"Chambers County, AL",Chambers County,34215,AL,0
894,"Cherokee County, AL",Cherokee County,25989,AL,0
1061,"Chilton County, AL HUD Metro FMR Area",Chilton County,43643,AL,1
1056,"Choctaw County, AL",Choctaw County,13859,AL,0
891,"Clarke County, AL",Clarke County,25833,AL,0
806,"Clay County, AL",Clay County,13932,AL,0
929,"Cleburne County, AL",Cleburne County,14972,AL,0
863,"Coffee County, AL",Coffee County,49948,AL,0
816,"Florence-Muscle Shoals, AL MSA",Colbert County,54428,AL,1
886,"Conecuh County, AL",Conecuh County,13228,AL,0
801,"Coosa County, AL",Coosa County,11539,AL,0
961,"Covington County, AL",Covington County,37765,AL,0
894,"Crenshaw County, AL",Crenshaw County,13906,AL,0
817,"Cullman County, AL",Cullman County,80406,AL,0
1050,"Dale County, AL",Dale County,50251,AL,0
977,"Dallas County, AL",Dallas County,43820,AL,0
1121,"DeKalb County, AL",DeKalb County,71109,AL,0
1288,"Montgomery, AL MSA",Elmore County,79303,AL,1
870,"Escambia County, AL",Escambia County,38319,AL,0
874,"Gadsden, AL MSA",Etowah County,104430,AL,1
1061,"Fayette County, AL",Fayette County,17241,AL,0
894,"Franklin County, AL",Franklin County,31704,AL,0
1047,"Dothan, AL HUD Metro FMR Area",Geneva County,26790,AL,1
1079,"Tuscaloosa, AL MSA",Greene County,9045,AL,1
1079,"Tuscaloosa, AL MSA",Hale County,15760,AL,1
987,"Henry County, AL HUD Metro FMR Area",Henry County,17302,AL,1
1047,"Dothan, AL HUD Metro FMR Area",Houston County,101547,AL,1
820,"Jackson County, AL",Jackson County,53227,AL,0
1142,"Birmingham-Hoover, AL HUD Metro FMR Area",Jefferson County,658466,AL,1
894,"Lamar County, AL",Lamar County,14564,AL,0
816,"Florence-Muscle Shoals, AL MSA",Lauderdale County,92709,AL,1
936,"Decatur, AL MSA",Lawrence County,34339,AL,1
1374,"Auburn-Opelika, AL MSA",Lee County,140247,AL,1
1033,"Huntsville, AL MSA",Limestone County,82782,AL,1
1288,"Montgomery, AL MSA",Lowndes County,11299,AL,1
848,"Macon County, AL",Macon County,21452,AL,0
