metro_area,state,size_rank,median_rent
"New York, NY",NY,1,2408
"Los Angeles-Long Beach-Anaheim, CA",CA,2,2804
"Chicago, IL",IL,3,1672
"Dallas-Fort Worth, TX",TX,4,1626
"Philadelphia, PA",PA,5,1593
"Houston, TX",TX,6,1572
"Washington, DC",DC,7,2157
"Miami-Fort Lauderdale, FL",FL,8,1894
"Atlanta, GA",GA,9,1426
"Boston, MA",MA,10,2385
"San Francisco, CA",CA,11,3433
"Detroit, MI",MI,12,1218
"Riverside, CA",CA,13,1951
"Seattle, WA",WA,14,2213
"Minneapolis-St Paul, MN",MN,15,1678
"San Diego, CA",CA,16,2606
"St. Louis, MO",MO,17,1149
"Tampa, FL",FL,18,1417
"Baltimore, MD",MD,19,1747
"Denver, CO",CO,20,2090
"Pittsburgh, PA",PA,21,1096
"Portland, OR",OR,22,1857
"Charlotte, NC",NC,23,1323
"Sacramento, CA",CA,24,1885
"San Antonio, TX",TX,25,1351
"Orlando, FL",FL,26,1496
"Cincinnati, OH",OH,27,1296
"Cleveland, OH",OH,28,1154
"Kansas City, MO",MO,29,1286
"Columbus, OH",OH,30,1350
"Indianapolis, IN",IN,31,1222
"San Jose, CA",CA,32,3536
"Austin, TX",TX,33,1694
"Virginia Beach, VA",VA,34,1435
"Nashville, TN",TN,35,1507
"Providence, RI",RI,36,1690
"Milwaukee, WI",WI,37,1335
"Jacksonville, FL",FL,38,1374
"Memphis, TN",TN,39,1113
"Oklahoma City, OK",OK,40,1095
"Louisville-Jefferson County, KY",KY,41,1192
"Hartford, CT",CT,42,1599
"Richmond, VA",VA,43,1413
"New Orleans, LA",LA,44,1395
"Buffalo, NY",NY,45,1220
"Raleigh, NC",NC,46,1448
"Birmingham, AL",AL,47,1083
"Salt Lake City, UT",UT,48,1604
"Rochester, NY",NY,49,1392
"Grand Rapids, MI",MI,50,1358
"Tucson, AZ",AZ,51,1223
"Urban Honolulu, HI",HI,52,2384
"Tulsa, OK",OK,53,1019
"Fresno, CA",CA,54,1349
"Worcester, MA",MA,55,1617
"Stamford, CT",CT,56,2292
"Albuquerque, NM",NM,57,1220
"Albany, NY",NY,58,1543
"Omaha, NE",NE,59,1311
"New Haven, CT",CT,60,1632
"Bakersfield, CA",CA,61,1289
"Knoxville, TN",TN,62,1153
"Greenville, SC",SC,63,1239
"Ventura, CA",CA,64,2785
"Allentown, PA",PA,65,1464
"El Paso, TX",TX,66,991
"Baton Rouge, LA",LA,67,1322
"Dayton, OH",OH,68,982
"McAllen, TX",TX,69,988
"Columbia, SC",SC,70,1131
"Akron, OH",OH,71,1103
"North Port-Sarasota-Bradenton, FL",FL,72,1797
"Little Rock, AR",AR,73,1008
"Stockton, CA",CA,74,1684
"Charleston, SC",SC,75,1627
"Syracuse, NY",NY,76,1318
"Colorado Springs, CO",CO,77,1546
"Winston-Salem, NC",NC,78,1086
"Wichita, KS",KS,79,954
"Springfield, MA",MA,80,1616
"Fort Myers, FL",FL,81,1625
